"","s","m","l","x","y","h.theta","r.vec","sec.fine","sec.coarse","lum"
"orange",0.481978627754621,0.600292348814115,0.806158677654291,0.28074815861322,-0.0437763038903407,98.8626098632861,0.284140622486496,90,"green",0.259761048286179
"red",0.581894120152025,0.685333474569971,0.697803118549106,0.100380137139082,0.0454848552194054,65.6234813860897,0.11020455519801,60,"bluegreen",0.163065574375471
"yellow",0.428425201093604,0.613872594851358,0.87793239667071,0.389284650553674,-0.0393062040307991,95.7656338340107,0.391263998895895,90,"green",0.377668285011779
"dark_blue",0.479212757504569,0.727273486985625,0.408986734056043,-0.0608175203131848,0.283173741205319,347.878658979784,0.289631038539142,340,"blue",0.0551688726642735
"light_blue",0.784784713358755,0.937046883540563,0.892242048485266,0.0930607820425368,0.0985335026185524,43.3638418340478,0.135532875320524,40,"bluegreen",0.411298110253813
