"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness","condition","patch1","hex_distance"
"316",1,"9","3","Similar","orange",10,"yellow","40","stingless",14,"target",3,0.214285714285714,"2025-02-24","10:01",23,"","9_3","high","high_Similar","orange",0.1086285
"317",12,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",12,"target",2,0.166666666666667,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"318",11,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",12,"target",1,0.0833333333333333,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"319",9,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",12,"target",4,0.333333333333333,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"320",8,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",12,"target",4,0.333333333333333,"2025-02-19","12:53",22,"","12_1","high","high_Dissimilar","orange",0.47282496
"321",7,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",12,"target",3,0.25,"2025-02-19","12:53",22,"","12_1","high","high_Dissimilar","orange",0.47282496
"322",6,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",6,"target",4,0.666666666666667,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"323",5,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",9,"target",5,0.555555555555556,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"324",4,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",8,"target",2,0.25,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"325",3,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",9,"target",4,0.444444444444444,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"326",2,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",7,"target",3,0.428571428571429,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"327",1,"12","1","Dissimilar","orange",10,"dark_blue","40","stingless",4,"target",1,0.25,"2025-02-19","12:53",24,"","12_1","high","high_Dissimilar","orange",0.47282496
"328",12,"12","9","Similar","orange",10,"yellow","20","stingless",16,"target",9,0.5625,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"329",11,"12","9","Similar","orange",10,"yellow","20","stingless",10,"target",5,0.5,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"330",10,"12","9","Similar","orange",10,"yellow","20","stingless",14,"target",5,0.357142857142857,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"331",9,"12","9","Similar","orange",10,"yellow","20","stingless",12,"target",4,0.333333333333333,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"332",8,"12","9","Similar","orange",10,"yellow","20","stingless",14,"target",3,0.214285714285714,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"333",7,"12","9","Similar","orange",10,"yellow","20","stingless",17,"target",6,0.352941176470588,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"334",6,"12","9","Similar","orange",10,"yellow","20","stingless",12,"target",4,0.333333333333333,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"335",5,"12","9","Similar","orange",10,"yellow","20","stingless",12,"target",5,0.416666666666667,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"336",4,"12","9","Similar","orange",10,"yellow","20","stingless",8,"target",4,0.5,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"337",3,"12","9","Similar","orange",10,"yellow","20","stingless",5,"target",3,0.6,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"338",2,"12","9","Similar","orange",10,"yellow","20","stingless",5,"target",1,0.2,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"339",1,"12","9","Similar","orange",10,"yellow","20","stingless",6,"target",2,0.333333333333333,"2025-02-19","10:30",22,"","12_9","low","low_Similar","orange",0.1086285
"340",12,"11","4","Similar","orange",10,"red","20","stingless",21,"target",11,0.523809523809524,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"341",12,"10","4","Similar","orange",10,"red","20","stingless",20,"target",12,0.6,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"342",12,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",16,"target",3,0.1875,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"343",11,"11","4","Similar","orange",10,"red","20","stingless",31,"target",17,0.548387096774194,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"344",10,"11","4","Similar","orange",10,"red","20","stingless",30,"target",15,0.5,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"345",9,"11","4","Similar","orange",10,"red","20","stingless",32,"target",10,0.3125,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"346",11,"10","4","Similar","orange",10,"red","20","stingless",35,"target",20,0.571428571428571,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"347",11,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",11,"target",4,0.363636363636364,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"348",10,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",14,"target",4,0.285714285714286,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"349",10,"10","4","Similar","orange",10,"red","20","stingless",24,"target",8,0.333333333333333,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"350",9,"10","4","Similar","orange",10,"red","20","stingless",21,"target",7,0.333333333333333,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"351",9,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",16,"target",3,0.1875,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"352",8,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",11,"target",6,0.545454545454545,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"353",7,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",13,"target",2,0.153846153846154,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"354",8,"11","4","Similar","orange",10,"red","20","stingless",33,"target",12,0.363636363636364,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"355",7,"11","4","Similar","orange",10,"red","20","stingless",32,"target",13,0.40625,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"356",8,"10","4","Similar","orange",10,"red","20","stingless",12,"target",5,0.416666666666667,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"357",6,"11","4","Similar","orange",10,"red","20","stingless",33,"target",11,0.333333333333333,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"358",5,"11","4","Similar","orange",10,"red","20","stingless",24,"target",9,0.375,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"359",4,"11","4","Similar","orange",10,"red","20","stingless",28,"target",13,0.464285714285714,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"360",3,"11","4","Similar","orange",10,"red","20","stingless",10,"target",4,0.4,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"361",2,"11","4","Similar","orange",10,"red","20","stingless",7,"target",3,0.428571428571429,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"362",1,"11","4","Similar","orange",10,"red","20","stingless",2,"target",1,0.5,"2025-02-19","12:50",23,"","11_4","low","low_Similar","orange",0.20124656
"363",12,"13","9","Similar","orange",10,"yellow","20","stingless",6,"target",2,0.333333333333333,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"364",11,"13","9","Similar","orange",10,"yellow","20","stingless",7,"target",1,0.142857142857143,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"365",10,"13","9","Similar","orange",10,"yellow","20","stingless",11,"target",3,0.272727272727273,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"366",7,"10","4","Similar","orange",10,"red","20","stingless",17,"target",8,0.470588235294118,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"367",6,"10","4","Similar","orange",10,"red","20","stingless",19,"target",10,0.526315789473684,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"368",6,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",6,"target",1,0.166666666666667,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"369",5,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",5,"target",2,0.4,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"370",4,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",3,"target",1,0.333333333333333,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"371",3,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",5,"target",2,0.4,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"372",2,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",7,"target",3,0.428571428571429,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"373",5,"10","4","Similar","orange",10,"red","20","stingless",15,"target",7,0.466666666666667,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"374",4,"10","4","Similar","orange",10,"red","20","stingless",21,"target",9,0.428571428571429,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"375",1,"13","1","Dissimilar","orange",10,"dark_blue","40","stingless",5,"target",1,0.2,"2025-02-19","12:49",26,"","13_1","high","high_Dissimilar","orange",0.47282496
"376",3,"10","4","Similar","orange",10,"red","20","stingless",15,"target",9,0.6,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"377",2,"10","4","Similar","orange",10,"red","20","stingless",17,"target",10,0.588235294117647,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"378",12,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",8,"target",4,0.5,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"379",11,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",10,"target",4,0.4,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"380",10,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",9,"target",4,0.444444444444444,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"381",9,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",10,"target",4,0.4,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"382",8,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",7,"target",3,0.428571428571429,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"383",7,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",7,"target",5,0.714285714285714,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"384",6,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",10,"target",4,0.4,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"385",5,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",6,"target",3,0.5,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"386",4,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",12,"target",4,0.333333333333333,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"387",1,"10","4","Similar","orange",10,"red","20","stingless",12,"target",7,0.583333333333333,"2025-02-19","12:50",24,"","10_4","low","low_Similar","orange",0.20124656
"388",3,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",4,"target",1,0.25,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"389",12,"8","8","Similar","orange",10,"red","40","stingless",15,"target",5,0.333333333333333,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"390",2,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",2,"target",1,0.5,"2025-02-18","13:24",24,"","12_7","low","low_Dissimilar","orange",0.47282496
"391",12,"9","8","Similar","orange",10,"red","40","stingless",64,"target",16,0.25,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"392",11,"9","8","Similar","orange",10,"red","40","stingless",46,"target",9,0.195652173913043,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"393",10,"9","8","Similar","orange",10,"red","40","stingless",51,"target",13,0.254901960784314,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"394",9,"9","8","Similar","orange",10,"red","40","stingless",63,"target",15,0.238095238095238,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"395",8,"9","8","Similar","orange",10,"red","40","stingless",65,"target",10,0.153846153846154,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"396",11,"8","8","Similar","orange",10,"red","40","stingless",21,"target",9,0.428571428571429,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"397",10,"8","8","Similar","orange",10,"red","40","stingless",25,"target",6,0.24,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"398",9,"13","9","Similar","orange",10,"yellow","20","stingless",10,"target",2,0.2,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"399",8,"13","9","Similar","orange",10,"yellow","20","stingless",9,"target",1,0.111111111111111,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"400",7,"13","9","Similar","orange",10,"yellow","20","stingless",4,"target",1,0.25,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"401",6,"13","9","Similar","orange",10,"yellow","20","stingless",8,"target",4,0.5,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"402",5,"13","9","Similar","orange",10,"yellow","20","stingless",6,"target",2,0.333333333333333,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"403",4,"13","9","Similar","orange",10,"yellow","20","stingless",10,"target",4,0.4,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"404",3,"13","9","Similar","orange",10,"yellow","20","stingless",6,"target",2,0.333333333333333,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"405",9,"8","8","Similar","orange",10,"red","40","stingless",22,"target",5,0.227272727272727,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"406",1,"13","9","Similar","orange",10,"yellow","20","stingless",7,"target",2,0.285714285714286,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"407",2,"13","9","Similar","orange",10,"yellow","20","stingless",7,"target",1,0.142857142857143,"2025-02-19","10:28",23,"","13_9","low","low_Similar","orange",0.1086285
"408",8,"8","8","Similar","orange",10,"red","40","stingless",21,"target",6,0.285714285714286,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"409",7,"9","8","Similar","orange",10,"red","40","stingless",62,"target",8,0.129032258064516,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"410",7,"8","8","Similar","orange",10,"red","40","stingless",14,"target",4,0.285714285714286,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"411",6,"9","8","Similar","orange",10,"red","40","stingless",61,"target",14,0.229508196721311,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"412",5,"9","8","Similar","orange",10,"red","40","stingless",56,"target",11,0.196428571428571,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"413",4,"9","8","Similar","orange",10,"red","40","stingless",55,"target",16,0.290909090909091,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"414",3,"9","8","Similar","orange",10,"red","40","stingless",46,"target",20,0.434782608695652,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"415",2,"9","8","Similar","orange",10,"red","40","stingless",50,"target",11,0.22,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"416",1,"9","8","Similar","orange",10,"red","40","stingless",31,"target",12,0.387096774193548,"2025-02-19","10:30",24,"","9_8","high","high_Similar","orange",0.20124656
"417",6,"8","8","Similar","orange",10,"red","40","stingless",24,"target",8,0.333333333333333,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"418",5,"8","8","Similar","orange",10,"red","40","stingless",20,"target",6,0.3,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"419",4,"8","8","Similar","orange",10,"red","40","stingless",13,"target",4,0.307692307692308,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"420",12,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",7,"target",1,0.142857142857143,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"421",3,"8","8","Similar","orange",10,"red","40","stingless",14,"target",7,0.5,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"422",11,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",9,"target",1,0.111111111111111,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"423",10,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",4,"target",1,0.25,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"424",9,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",10,"target",1,0.1,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"425",8,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",8,"target",1,0.125,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"426",7,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",5,"target",0,0,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"427",6,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",11,"target",2,0.181818181818182,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"428",1,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",3,"target",1,0.333333333333333,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"429",2,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",4,"target",0,0,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"430",3,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",3,"target",0,0,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"431",4,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",6,"target",0,0,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"432",5,"12","6","Dissimilar","orange",10,"light_blue","40","stingless",10,"target",1,0.1,"2025-02-18","11:00",22,"","12_6","high","high_Dissimilar","orange",0.23553903
"433",2,"8","8","Similar","orange",10,"red","40","stingless",12,"target",5,0.416666666666667,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"434",1,"8","8","Similar","orange",10,"red","40","stingless",5,"target",2,0.4,"2025-02-19","10:25",22,"","8_8","high","high_Similar","orange",0.20124656
"435",12,"9","9","Similar","orange",10,"yellow","20","stingless",56,"target",24,0.428571428571429,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"436",11,"9","9","Similar","orange",10,"yellow","20","stingless",49,"target",27,0.551020408163265,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"437",12,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",9,"target",4,0.444444444444444,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"438",12,"8","9","Similar","orange",10,"yellow","20","stingless",25,"target",10,0.4,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"439",11,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",6,"target",1,0.166666666666667,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"440",1,"12","7","Dissimilar","orange",10,"dark_blue","20","stingless",4,"target",2,0.5,"2025-02-18","13:24",25,"","12_7","low","low_Dissimilar","orange",0.47282496
"441",12,"11","8","Similar","orange",10,"red","40","stingless",30,"target",3,0.1,"2025-02-18","10:57",22,"","11_8","high","high_Similar","orange",0.20124656
"442",11,"8","9","Similar","orange",10,"yellow","20","stingless",12,"target",6,0.5,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"443",10,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",7,"target",3,0.428571428571429,"2025-02-18","13:02",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"444",9,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",6,"target",2,0.333333333333333,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"445",10,"9","9","Similar","orange",10,"yellow","20","stingless",38,"target",13,0.342105263157895,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"446",8,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",5,"target",3,0.6,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"447",7,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",5,"target",2,0.4,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"448",6,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",6,"target",1,0.166666666666667,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"449",5,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",3,"target",2,0.666666666666667,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"450",4,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",3,"target",0,0,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"451",3,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",5,"target",1,0.2,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"452",2,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",5,"target",0,0,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"453",1,"13","7","Dissimilar","orange",10,"dark_blue","20","stingless",4,"target",0,0,"2025-02-18","13:19",24,"","13_7","low","low_Dissimilar","orange",0.47282496
"454",10,"8","9","Similar","orange",10,"yellow","20","stingless",24,"target",12,0.5,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"455",9,"9","9","Similar","orange",10,"yellow","20","stingless",31,"target",13,0.419354838709677,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"456",9,"8","9","Similar","orange",10,"yellow","20","stingless",16,"target",9,0.5625,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"457",8,"9","9","Similar","orange",10,"yellow","20","stingless",34,"target",17,0.5,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"458",8,"8","9","Similar","orange",10,"yellow","20","stingless",13,"target",5,0.384615384615385,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"459",7,"9","9","Similar","orange",10,"yellow","20","stingless",40,"target",14,0.35,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"460",6,"9","9","Similar","orange",10,"yellow","20","stingless",29,"target",9,0.310344827586207,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"461",5,"9","9","Similar","orange",10,"yellow","20","stingless",35,"target",9,0.257142857142857,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"462",7,"8","9","Similar","orange",10,"yellow","20","stingless",15,"target",5,0.333333333333333,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"463",6,"8","9","Similar","orange",10,"yellow","20","stingless",12,"target",5,0.416666666666667,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"464",4,"9","9","Similar","orange",10,"yellow","20","stingless",36,"target",11,0.305555555555556,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"465",5,"8","9","Similar","orange",10,"yellow","20","stingless",13,"target",4,0.307692307692308,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"466",3,"9","9","Similar","orange",10,"yellow","20","stingless",29,"target",12,0.413793103448276,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"467",2,"9","9","Similar","orange",10,"yellow","20","stingless",15,"target",7,0.466666666666667,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"468",1,"9","9","Similar","orange",10,"yellow","20","stingless",8,"target",2,0.25,"2025-02-18","13:20",26,"","9_9","low","low_Similar","orange",0.1086285
"469",4,"8","9","Similar","orange",10,"yellow","20","stingless",6,"target",2,0.333333333333333,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"470",3,"8","9","Similar","orange",10,"yellow","20","stingless",5,"target",2,0.4,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"471",2,"8","9","Similar","orange",10,"yellow","20","stingless",3,"target",1,0.333333333333333,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"472",1,"8","9","Similar","orange",10,"yellow","20","stingless",2,"target",0,0,"2025-02-18","13:16",25,"","8_9","low","low_Similar","orange",0.1086285
"473",12,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",3,"target",1,0.333333333333333,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"474",11,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",4,"target",1,0.25,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"475",3,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",9,"target",2,0.222222222222222,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"476",9,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",4,"target",1,0.25,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"477",10,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",7,"target",2,0.285714285714286,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"478",8,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",5,"target",1,0.2,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"479",7,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",2,"target",1,0.5,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"480",6,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",5,"target",1,0.2,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
"481",11,"11","8","Similar","orange",10,"red","40","stingless",34,"target",5,0.147058823529412,"2025-02-18","10:57",22,"","11_8","high","high_Similar","orange",0.20124656
"482",5,"13","6","Dissimilar","orange",10,"light_blue","40","stingless",5,"target",1,0.2,"2025-02-18","10:58",22,"","13_6","high","high_Dissimilar","orange",0.23553903
