"","timeslot","colony","treatment","similarity","target_color","target_concentration","companion_color","companion_concentration","species","total_visitation","flowertype","number_individuals","relative_target_visitation","date","start_time_of_experiment","temp_at_start_of_experiment","comments","id","attractiveness"
"50",3,"12","5","control","orange",10,"orange","10","honeybee",2,"target",0,1,"2025-02-26","12:40",28,"","12_5","control"
"51",3,"12","5","control","orange",10,"orange","10","stingless",2,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"52",3,"12","5","control","orange",10,"orange","10","honeybee",2,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"53",2,"12","5","control","orange",10,"orange","10","stingless",3,"target",2,1,"2025-02-26","12:40",28,"","12_5","control"
"54",2,"12","5","control","orange",10,"orange","10","honeybee",3,"target",0,1,"2025-02-26","12:40",28,"","12_5","control"
"55",2,"12","5","control","orange",10,"orange","10","stingless",3,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"56",2,"12","5","control","orange",10,"orange","10","honeybee",3,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"57",1,"12","5","control","orange",10,"orange","10","stingless",3,"target",2,1,"2025-02-26","12:40",28,"","12_5","control"
"58",1,"12","5","control","orange",10,"orange","10","honeybee",3,"target",0,1,"2025-02-26","12:40",28,"","12_5","control"
"59",1,"12","5","control","orange",10,"orange","10","stingless",3,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"60",1,"12","5","control","orange",10,"orange","10","honeybee",3,"companion",0,1,"2025-02-26","12:40",28,"","12_5","control"
"61",11,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",5,"target",1,0.2,"2025-02-26","10:00",23,"","12_2","low"
"62",11,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",5,"target",1,0.2,"2025-02-26","10:00",23,"","12_2","low"
"63",11,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",5,"companion",4,0.2,"2025-02-26","10:00",23,"","12_2","low"
"64",11,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",5,"companion",0,0.2,"2025-02-26","10:00",23,"","12_2","low"
"65",10,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",6,"target",2,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"66",10,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",6,"target",1,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"67",10,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",6,"companion",4,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"68",10,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",6,"companion",0,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"69",9,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",5,"target",2,0.4,"2025-02-26","10:00",23,"","12_2","low"
"70",9,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",5,"target",1,0.4,"2025-02-26","10:00",23,"","12_2","low"
"71",9,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",5,"companion",3,0.4,"2025-02-26","10:00",23,"","12_2","low"
"72",9,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",5,"companion",1,0.4,"2025-02-26","10:00",23,"","12_2","low"
"73",8,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",6,"target",2,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"74",8,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",6,"target",0,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"75",8,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",6,"companion",4,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"76",8,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",6,"companion",0,0.333333333333333,"2025-02-26","10:00",23,"","12_2","low"
"77",7,"12","2","Dissimilar","orange",10,"light_blue","20","stingless",4,"target",2,0.5,"2025-02-26","10:00",23,"","12_2","low"
"78",7,"12","2","Dissimilar","orange",10,"light_blue","20","honeybee",4,"target",0,0.5,"2025-02-26","10:00",23,"","12_2","low"
